Text,Criteria,Level
The system will enable making and installation of data entry software and a web-based database for beneficiaries of the National Service Programme.,Requirements,Complete
"The application must have a responsive interface compatible with multiple devices, including mobile, desktop, and large screens",Requirements,Complete
"The system must include modules such as Employee Management, Leave Management, and Training Records Management to handle FSCD operations. Each module must support role-based access control to ensure data security and accessibility.",Requirements,Complete
"The system must include modules such as Traffic Monitoring, Data Analysis, and Emergency Response Coordination for effective ITS management. All kinds of standard testing tasks that are required to be performed
at the development phase should be mentioned in the plan. Considering the scope
mentioned in the TOR for this e-Service application, vendor is requested to include a
preliminary development plan (standard approach) in their technical proposal.",Requirements,Complete
"The web application will support features like business idea submission, geolocation integration, and automated notifications for stakeholders.",Requirements,Complete
The system should be available to users 24x7x365 days a year without any unapproved downtime,Requirements,Complete
"The GIS database of LGED is linked with the road database, and any change in the road database will reflect dynamically on GIS.",Requirements,Complete
"The system shall be designed to handle estimated 120,000 simultaneous
connection (online users) when it is ultimately rolled out. Page load time, login response-time, on-click load time for the web application
should be less than 3 seconds while this is accessed over the intranet. Average transaction response time, on-submit response-time, or any other
database access/ search time should be less than 5 seconds when the
system solution is accessed over the intranet. Considering the network infrastructure challenges in Bangladesh, the solution
must support low bandwidth conditions for the services defined in the
functional requirements.",Requirements,Complete
"The system should be capable of handling the entry, unloading, and delivery of goods at multiple ports, tracking consignments with unique identification numbers, and automating the entire warehousing process with real-time status updates available to stakeholders. All processes, including billing and payment, should be fully integrated and accessible online for all concerned parties.",Requirements,Complete
The project involves transforming manual zakat collection and distribution into an online system to improve accessibility and transparency for zakat providers and recipients.,Requirements,Complete
"The consultant will conduct a feasibility study of the ERP solution, including budget estimates and infrastructure requirements.",Requirements,Complete
"The assignment requires enhancements to the Eksheba system for structured database management and reporting to stakeholders, ensuring robust service delivery.",Requirements,Complete
"The overall objective of the assignment is to develop a centralised platform where a consumer can raise their valid complaints against an eCommerce company, and the CCMS platform can interact as a primary redressal tool for consumers and e-commerce companies moderated by appropriate administrative authorities.",Requirements,Complete
"The system must enable users to register, track, and manage complaints through an integrated user interface. It should also support multilingual options for diverse user groups and provide automatic email notifications for status updates.",Requirements,Complete
"The portal must include features such as secure user login, two-factor authentication, role-based access control, and a robust audit trail for user activity. Additionally, it must support real-time reporting of complaints and automated escalation of unresolved issues.",Requirements,Complete
"The system must handle up to 10,000 simultaneous users with no degradation in performance. It must meet OWASP security standards, including data encryption and secure data storage, with regular security audits.",Requirements,Complete
"The project should be delivered in three phases: Phase 1 (Design and Development) with a final working prototype by the end of month 3, Phase 2 (Testing and Deployment) completed by month 5, and Phase 3 (User Training and Handover) by month 6.",Requirements,Complete
"Implementation strategy would be divided into four phases, quarter one, quarter two, quarter three and quarter four. Each quarter would be three months long. Total Duration of the assignment is 22 Months Six Months is core development period and Vendor needs to release Online version with functional attributes and functional & usable prototype. One Month for Model implementation as Pilot & POC. Three Months is for development period again for Limited and Offline Version. Twelve Months for Post Development Support Service and Change Management. Master Agreement will be for 10 Months and the Maintenance agreement will be for 12 months. Total contract value will be negotiated under the master agreement that will reflect the accumulated cost of product as budgeted and as negotiated there after during final negotiation meeting with the selected vendor. ",Requirements,Complete
"The system must integrate seamlessly with the existing CRM, ERP, and financial platforms. Detailed API specifications for integration are provided in the annexure. The user interface must be responsive, mobile-friendly, and adhere to the provided wireframes and design guidelines. The system should be tested across multiple devices and browsers to ensure consistent user experience. The portal must comply with local data protection regulations (GDPR, CCPA) and provide reporting capabilities for administrators to track user activities, system logs, and report generation for monthly performance reviews.",Requirements,Complete
The system must allow project progress information to be accessed visually through GIS-based maps and dashboards,Implementation,Complex
"The vendor must host the system on their server during development and later transfer it to the FSCD data center for production testing with real data. Implementation involves system setup, hosting, and integration of plugins like SMS gateway if required.",Implementation,Complex
Vendor will install and host the system on their server during development and later transfer it to the FSCD data center for production testing with real data.,Implementation,Complex
"Vendor must propose a detailed Deployment and Implementation plan covering the major activities to be performed, including testing, hosting, and production rollout",Implementation,Complex
"The implementation involves the development of a responsive web application using technologies such as Java, Spring Boot, and Angular, hosted on secure servers.",Implementation,Complex
The implementation plan includes integration with SMS gateways and hosting on secure servers,Implementation,Complex
The vendor shall provide tamper-proof audit trails and logs for administrator or auditor to check for the actions committed by users,Implementation,Complex
Integrated digital government platform ensuring compliance with national e-Government standards and guidelines.,Implementation,Complex
"The implementation will involve multiple stages, including detailed system design, integration with existing national systems, extensive testing, and user training. The complexity of these tasks requires a well-coordinated effort from all involved teams, including system architects, developers, and security experts.",Implementation,Complex
"Implementation requires advanced technical planning and stakeholder coordination, making it a complex task.",Implementation,Complex
"The implementation involves significant coordination between consultants and stakeholders, making it a complex task.",Implementation,Complex
"The implementation requires both advanced technical expertise and substantial project management skills, making it a complex task.",Implementation,Complex
"The implementation will involve phased deployment and coordination with multiple stakeholders, making it a complex task.",Implementation,Complex
"The implementation involves several stages, including complete system integration with multiple external platforms, extensive testing for compliance, and migration of legacy data to the new system. The estimated timeline for full implementation is 6 months.",Implementation,Complex
"Given the scale of the project, the implementation will occur in multiple phases: initial prototype, user feedback integration, integration with third-party services, and full deployment. The complexity of integration with legacy systems and custom software development makes this a complex process.",Implementation,Complex
"The system implementation involves substantial customization to meet the unique needs of various user groups. The project will require detailed integration with existing infrastructure, adherence to strict regulatory compliance, and substantial testing. The total timeline for the complete system rollout is expected to exceed 12 months.",Implementation,Complex
"The development timeline is not explicitly mentioned, but the Scrum approach suggests iterative and flexible delivery.",Delivery Time,Depends
"The delivery timeline is not explicitly mentioned, though Scrum methodology suggests an iterative delivery process.",Delivery Time,Depends
"The development timeline is not specified, and the Kanban process suggests continuous improvement.",Delivery Time,Depends
"Total duration of the Maintenance and support service after implementation
Proposed SDLC Phase-wise and deliverable-wise time distribution and
duration",Delivery Time,Depends
"Vendor must complete the project within a stipulated timeline based on the proposed SDLC methodology. The timeline is divided into three phases: Requirement Analysis, Development & Piloting, and Maintenance & Support.",Delivery Time,Depends
"As the entire projects functional scope will be divided into multiple iterations, the release and deployment of each iteration will be dependent on the completion of the previous phase.",Delivery Time,Depends
"The project implementation plan must ensure all activities are executed within the agreed timeframe, with penalties for delays as per the agreement.",Delivery Time,Depends
"The contract duration is three months, with submission deadlines for technical and financial proposals.",Delivery Time,Early
The work is expected to start once the contract is signed and is expected to be completed in approximately 3 months.,Delivery Time,Early
"The proposed Agile development plan outlines eight sprints (each two weeks), indicating a structured timeline of 16 weeks for initial releases.",Delivery Time,Early
The project must be completed within 30 days from the date of contract signing.,Delivery Time,Early
"The project delivery timeline is expected to adhere to an agile methodology, ensuring phased releases within the first 18 months.",Delivery Time,Early
"The total duration of the assignment is planned for 24 months, with delivery timelines specified in project phases.",Delivery Time,Early
The implementation involves making and installing a database with minor integrations for beneficiary data storage.,Implementation,Easy
Implementation of customized software solutions aligned with DSCC's specific operational needs.,Implementation,Easy
"It needs to be a light-weight Web-based application having browser interoperability with rich 
client-side scripting",Complex Projects,Low
"The implementation of the system will involve a straightforward configuration of the existing platform with minimal modifications to the current infrastructure. No new hardware will be required, and the deployment can be completed within 1 month.",Implementation,Easy
"The system will be implemented in a simple manner by upgrading existing features and functionalities. The implementation will not require extensive changes to the core architecture, and the process is expected to take 2-3 weeks.",Implementation,Easy
"This is a minor update to the current platform. The implementation involves simple bug fixes and some visual tweaks. The systems architecture will remain unchanged, and the update will be completed in a short timeline of 2 weeks.",Implementation,Easy
The system can be quickly deployed with minimal customization and configuration.,Implementation,Easy
Installation and setup of the system are straightforward and can be completed in a short time.,Implementation,Easy
